W_REGN;TRICE;TBREAD;TMEAT;TRESTAURANT;TCLOTHFOOTWEAR;TTRANSPORT
NCR;14378;6812;14343;18280;2500;3024
NCR;18655;1252;14282;11830;3045;5712
NCR;13030;6552;24156;32670;10293;12654
NCR;19200;8900;15581;40950;5890;9252
NCR;6656;1242;6995;22920;1085;960
NCR;6864;876;4160;8370;1505;2304
NCR;11856;2261;4045;11630;1025;2952
NCR;11310;5940;8230;69060;3050;5952
NCR;12861;8730;43711;6590;6210;4098
NCR;6215;2474;10280;0;1080;1536
NCR;27300;8440;27198;61120;14530;51510
NCR;22800;10336;42401;86070;18785;26160
NCR;22200;3276;49724;87850;15380;38358
NCR;31252;4212;78054;85890;18620;17880
NCR;36400;6828;38723;62440;10165;27048
NCR;24752;2210;26094;33140;2795;16032
NCR;20202;8632;21730;44680;9500;19410
NCR;7358;2760;7549;46400;2880;5748
NCR;27924;3358;23252;32065;11100;9000
NCR;24388;7332;19202;39680;7650;4992
NCR;20082;5024;23544;26640;5220;8112
NCR;12680;3602;23395;24900;9470;51528
NCR;2756;3692;8950;8740;3955;17472
NCR;21840;10972;23184;66950;8035;11076
NCR;12636;1080;17230;38960;3110;16992
NCR;22350;13040;43806;118915;17790;114990
NCR;10412;8928;30643;181300;14130;74646
NCR;2399;0;9000;8550;2600;1536
NCR;9535;1940;11765;20600;1310;1314
NCR;7800;1040;8050;19260;12535;8064
NCR;5304;3262;14175;18700;1660;9984
NCR;22100;3770;12654;14660;2890;11586
NCR;19266;4394;14537;54080;6030;23448
NCR;0;3225;0;18000;500;0
NCR;18720;4000;16468;46200;6030;16662
NCR;12636;1580;20966;22160;5240;9084
NCR;26000;7696;25745;106600;6120;24024
NCR;10920;4056;8585;18620;3230;39000
NCR;20800;4401;24181;85480;8473;42186
NCR;13008;4936;21984;14440;5410;29190
NCR;24960;5424;18806;94950;14320;20958
NCR;34138;6812;22238;92960;6970;30336
NCR;14976;5683;13051;22900;7670;21996
NCR;15600;1392;15222;17680;6000;5616
NCR;29120;2370;10874;47392;1060;1152
NCR;20328;2616;17159;38870;3800;16506
NCR;10920;1262;8552;41920;6200;7620
NCR;15652;4940;15876;51440;6980;9840
NCR;42262;7909;22418;76800;6200;20544
NCR;17110;1348;22615;21510;5605;8202
NCR;43680;14056;14238;57480;7375;14898
NCR;12012;2954;16570;21270;4580;4992
NCR;18382;1834;11507;37960;4190;8352
NCR;22750;4322;19220;33750;6530;3072
NCR;15730;2948;19435;106263;5365;16806
NCR;16588;4922;13068;26765;1055;2592
NCR;16744;1956;16705;107905;3725;22224
NCR;24960;4226;29059;83800;11140;14544
NCR;7800;1805;11025;13420;600;672
NCR;25505;1040;27956;52120;6570;8598
NCR;7722;1464;19476;57415;3565;36378
NCR;13026;3234;3181;52465;3150;10596
NCR;16900;1202;3189;31436;2140;4806
NCR;22490;2418;7150;63080;2885;4704
NCR;18200;935;3533;24860;8590;5712
NCR;0;16;0;36240;350;0
NCR;13650;4498;17419;56145;6090;18114
NCR;11920;1436;11221;33750;4418;1056
NCR;19110;2822;14740;160675;14400;14916
NCR;11770;2922;8431;56675;4300;38808
NCR;16640;17840;41000;41480;9595;15840
NCR;32448;6022;34339;119250;8215;87420
NCR;14924;987;5695;0;1550;1248
NCR;16692;1875;11520;80308;1600;5976
NCR;20800;2326;7080;10390;760;11172
NCR;11830;1204;9652;45770;1900;4896
NCR;14898;1022;16103;35365;2980;4968
NCR;15886;2001;14980;10710;1733;9960
NCR;4576;310;3964;4760;1125;15600
NCR;19240;7327;12702;14780;2055;17826
NCR;5772;10291;18921;79010;7580;23928
NCR;27716;3120;23036;117680;3495;30816
NCR;27430;2980;3116;49520;5010;10272
NCR;14716;2340;12846;18540;3330;8256
NCR;22360;2141;3353;29070;530;4992
NCR;7800;1037;3921;12780;800;1344
NCR;17920;3262;14668;88200;4840;16614
NCR;20475;4465;7820;10670;3230;2496
NCR;12012;7862;18058;24110;4800;4992
NCR;29250;6344;36580;15050;4770;4992
NCR;25480;1140;17373;5200;3500;1056
NCR;16650;5256;23786;62050;13980;24396
NCR;13442;1661;20960;26600;3540;10140
NCR;12376;3991;14420;13670;3590;7896
NCR;21840;1970;29976;56400;6250;10200
